# Liste des plantes (individus) utlisés dans les expériences
# Chaque plante est reliée à un stock, une expérience et un traitement (modalité expériementale) de cette expérience.
# Chacune de ces modalités se définit par les facteurs expérimentaux qui la compose.
# Cette table contient énormément de redondances !!! Simplifiez cela !
# La manière dont les identifiants sont construits est également lourde, voire problématique; simplifiez cela !
Plant_ID	Exp_ID	Seed_ID	Species	Cultivar	Treatment_Nr	Plant_Nr	Exp_Treatment_ID	Factor1	Level_Factor1	Unit_Factor1	Factor2	Level_Factor2	Unit_Factor2	Factor3	Level_Factor3	Unit_Factor3	Factor4	Level_Factor4	Unit_Factor4
La.1.2.1	E.La.1	E.la-000.001	Lathyris		2	1	E.La.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Ti.1.1.a	E.Ti.1	E.ti-000.001	Tirucalli		1	a	E.Ti.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Ti.1.1.b	E.Ti.1	E.ti-000.001	Tirucalli		1	b	E.Ti.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Ti.1.1.c	E.Ti.1	E.ti-000.001	Tirucalli		1	c	E.Ti.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Ti.1.2.a	E.Ti.1	E.ti-000.001	Tirucalli		2	a	E.Ti.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Ti.1.2.b	E.Ti.1	E.ti-000.001	Tirucalli		2	b	E.Ti.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Ti.1.2.c	E.Ti.1	E.ti-000.001	Tirucalli		2	c	E.Ti.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.1.a	E.Pe.1	E.pe-000.001	Peplus		1	a	E.Pe.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.1.b	E.Pe.1	E.pe-000.001	Peplus		1	b	E.Pe.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.1.c	E.Pe.1	E.pe-000.001	Peplus		1	c	E.Pe.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.1.d	E.Pe.1	E.pe-000.001	Peplus		1	d	E.Pe.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.1.e	E.Pe.1	E.pe-000.001	Peplus		1	e	E.Pe.1.1	OsmocoteConc	1	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.2.a	E.Pe.1	E.pe-000.001	Peplus		2	a	E.Pe.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.2.b	E.Pe.1	E.pe-000.001	Peplus		2	b	E.Pe.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.2.c	E.Pe.1	E.pe-000.001	Peplus		2	c	E.Pe.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.2.d	E.Pe.1	E.pe-000.001	Peplus		2	d	E.Pe.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.2.e	E.Pe.1	E.pe-000.001	Peplus		2	e	E.Pe.1.2	OsmocoteConc	3	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.3.a	E.Pe.1	E.pe-000.001	Peplus		3	a	E.Pe.1.3	OsmocoteConc	6	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.3.b	E.Pe.1	E.pe-000.001	Peplus		3	b	E.Pe.1.3	OsmocoteConc	6	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.3.c	E.Pe.1	E.pe-000.001	Peplus		3	c	E.Pe.1.3	OsmocoteConc	6	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.3.d	E.Pe.1	E.pe-000.001	Peplus		3	d	E.Pe.1.3	OsmocoteConc	6	gr/L	0	0	0	0	0	0	0	0	0
Pe.1.3.e	E.Pe.1	E.pe-000.001	Peplus		3	e	E.Pe.1.3	OsmocoteConc	6	gr/L	0	0	0	0	0	0	0	0	0
Hi.2.1.a	E.Hi.2	E.hi-000.001	Hirta		1	a	E.Hi.2.1	OsmocoteConc	1	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.1.b	E.Hi.2	E.hi-000.001	Hirta		1	b	E.Hi.2.1	OsmocoteConc	1	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.1.c	E.Hi.2	E.hi-000.001	Hirta		1	c	E.Hi.2.1	OsmocoteConc	1	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.1.d	E.Hi.2	E.hi-000.001	Hirta		1	d	E.Hi.2.1	OsmocoteConc	1	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.1.e	E.Hi.2	E.hi-000.001	Hirta		1	e	E.Hi.2.1	OsmocoteConc	1	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.2.a	E.Hi.2	E.hi-000.001	Hirta		2	a	E.Hi.2.2	OsmocoteConc	3	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.2.b	E.Hi.2	E.hi-000.001	Hirta		2	b	E.Hi.2.2	OsmocoteConc	3	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.2.c	E.Hi.2	E.hi-000.001	Hirta		2	c	E.Hi.2.2	OsmocoteConc	3	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.2.d	E.Hi.2	E.hi-000.001	Hirta		2	d	E.Hi.2.2	OsmocoteConc	3	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
Hi.2.2.e	E.Hi.2	E.hi-000.001	Hirta		2	e	E.Hi.2.2	OsmocoteConc	3	gr/L	Substrat	Bril+Argex (4+1)	0	0	0	0	0	0	0
